2021-01-09 14:59:30 status unpacked libzstd1:amd64 1.3.8+dfsg-3
2021-01-09 14:59:30 install libtasn1-6:amd64 <none> 4.13-3
2021-01-09 14:59:30 status half-installed libtasn1-6:amd64 4.13-3
2021-01-09 14:59:30 status unpacked libtasn1-6:amd64 4.13-3
2021-01-09 14:59:30 install libseccomp2:amd64 <none> 2.3.3-4
2021-01-09 14:59:30 status half-installed libseccomp2:amd64 2.3.3-4
2021-01-09 14:59:30 status unpacked libseccomp2:amd64 2.3.3-4
2021-01-09 14:59:30 install libtinfo6:amd64 <none> 6.1+20181013-2+deb10u2
2021-01-09 14:59:30 status half-installed libtinfo6:amd64 6.1+20181013-2+deb10u2
2021-01-09 14:59:30 status unpacked libtinfo6:amd64 6.1+20181013-2+deb10u2
2021-01-09 14:59:30 install libuuid1:amd64 <none> 2.33.1-0.1
2021-01-09 14:59:30 status half-installed libuuid1:amd64 2.33.1-0.1
2021-01-09 14:59:30 status unpacked libuuid1:amd64 2.33.1-0.1
2021-01-09 14:59:30 install libss2:amd64 <none> 1.44.5-1+deb10u2
2021-01-09 14:59:30 status half-installed libss2:amd64 1.44.5-1+deb10u2
2021-01-09 14:59:30 status unpacked libss2:amd64 1.44.5-1+deb10u2
2021-01-09 14:59:30 install libsmartcols1:amd64 <none> 2.33.1-0.1
2021-01-09 14:59:30 status half-installed libsmartcols1:amd64 2.33.1-0.1
2021-01-09 14:59:30 status unpacked libsmartcols1:amd64 2.33.1-0.1
2021-01-09 14:59:30 install login:amd64 <none> 1:4.5-1.1
2021-01-09 14:59:30 status half-installed login:amd64 1:4.5-1.1
2021-01-09 14:59:31 status unpacked login:amd64 1:4.5-1.1
2021-01-09 14:59:31 install util-linux:amd64 <none> 2.33.1-0.1
2021-01-09 14:59:31 status half-installed util-linux:amd64 2.33.1-0.1
2021-01-09 14:59:31 status unpacked util-linux:amd64 2.33.1-0.1
2021-01-09 14:59:31 install mount:amd64 <none> 2.33.1-0.1
